거미,판매처,채널,최초관측일,최초가,현재가,변동횟수,가격추이,최근변동일,재고,URL
[킬로브라키스 3종 세트],거미랑,자사몰,2026-06-02,190000,190000,0,,,품절,https://theraphosidae.co.kr/product/킬로브라키스-3종-세트-일렉트릭-블루-베트남-블루-버미즈-브라운-8-10cm암컷/1679/category/24/display/1/
가본 바분 가봉바분 가보네니스 바분,타란툴라코리아,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/tarantulakorea/products/10640738980
가본바분,타란툴라코리아,자사몰,2026-06-02,20000,20000,0,,,재고,https://tarantulakorea.com/product/가본바분-유체/416/category/66/display/1/
가이아나 자이언트 그린 핑크토,거미랑,자사몰,2026-06-02,25000,25000,0,,,품절,https://theraphosidae.co.kr/product/가이아나-자이언트-그린-핑크토-유체/472/category/24/display/1/
가이아나 자이언트 그린 핑크토,거미랑,자사몰,2026-06-02,35000,35000,0,,,품절,https://theraphosidae.co.kr/product/가이아나-자이언트-그린-핑크토-유체/827/category/24/display/1/
가이아나 핑크토,타란툴라코리아,네이버,2026-06-02,25000,25000,0,,,재고,https://smartstore.naver.com/tarantulakorea/products/10588414892
가이아나 핑크토,타란툴라코리아,자사몰,2026-06-02,25000,25000,0,,,재고,https://tarantulakorea.com/product/가이아나-핑크토-유체/500/category/67/display/1/
가이아나 핑크토 마드레데디오스,타란툴라코리아,네이버,2026-06-02,25000,25000,0,,,품절,https://smartstore.naver.com/tarantulakorea/products/10973254346
가이아나 핑크토 브리티쉬 기아나,거미랑,자사몰,2026-06-02,25000,25000,0,,,품절,https://theraphosidae.co.kr/product/가이아나-핑크토-브리티쉬-기아나-유체/1412/category/24/display/1/
가이아나 핑크토 브리티시 가이아나,거미랑,네이버,2026-06-02,25000,25000,0,,,품절,https://smartstore.naver.com/terrafactory/products/12455886369
가이아나 핑크토 브리티시 가이아나,타란센터,자사몰,2026-06-02,25000,25000,0,,,품절,https://tarancenter.com/product/가이아나-핑크토-브리티시-가이아나-avicularia-avicularia-british-guiana/1292/category/51/display/1/
갈레오데스 spec.,거미랑,자사몰,2026-06-02,90000,90000,0,,,품절,https://theraphosidae.co.kr/product/갈레오데스-spec-낙타거미-35cm/692/category/24/display/1/
갈레오데스 spec.,거미랑,자사몰,2026-06-02,110000,110000,0,,,품절,https://theraphosidae.co.kr/product/갈레오데스-spec-낙타거미-57cm/693/category/24/display/1/
강렬한 남미의 불꽃! 트릭소펠마 플레임럼프 학명 Thrioxopelma ockerti 습성 배회성 수명 약 10~20년 사육온도 23~27도 사육습도 50~60% 사이즈 성장 속도 빠름 페루비안 플레임 럼프 오거티 입니다. 소형 종으로 알고 계시는 분이 많지만 오랜시간 사육하면 이상으로 자라는 종입니다. 강하지만 예민한 편입니다. 건조한 걸 좋아하며 사육에서는 높은 곳에서 은신처를 만들어서 생활 하기도 합니다. 부터 의 고정 발색이 나타나고 발색이 매우,타란툴라코리아,네이버,2026-06-02,25000,25000,0,,,품절,https://smartstore.naver.com/tarantulakorea/products/10560538176
강인한 아프리카 스타우트렉 바분,타란툴라코리아,네이버,2026-06-02,230000,230000,0,,,재고,https://smartstore.naver.com/tarantulakorea/products/11117461916
고스트 오너멘탈,거미랑,자사몰,2026-06-02,200000,200000,0,,,품절,https://theraphosidae.co.kr/product/고스트-오너멘탈-15cm-암컷/1276/category/24/display/1/
고스트 오너멘탈,거미랑,자사몰,2026-06-02,80000,80000,0,,,품절,https://theraphosidae.co.kr/product/고스트-오너멘탈-6cm-암컷/1243/category/24/display/1/
고스트 오너멘탈,거미랑,자사몰,2026-06-02,30000,30000,0,,,품절,https://theraphosidae.co.kr/product/고스트-오너멘탈-유체/1624/category/24/display/1/
고스트 오너멘탈,거미랑,자사몰,2026-06-02,15000,15000,0,,,품절,https://theraphosidae.co.kr/product/고스트-오너멘탈-유체/308/category/24/display/1/
고스트 오너멘탈,거미랑,자사몰,2026-06-02,30000,30000,0,,,품절,https://theraphosidae.co.kr/product/고스트-오너멘탈-유체/530/category/24/display/1/
고스트 오너멘탈,타란센터,자사몰,2026-06-02,80000,80000,0,,,품절,https://tarancenter.com/product/고스트-오너멘탈-10cm-암컷-준성체-초-poecilotheria-vittata/1177/category/51/display/1/
고스트 오너멘탈,타란센터,자사몰,2026-06-02,50000,50000,0,,,재고,https://tarancenter.com/product/고스트-오너멘탈-아성체-poecilotheria-vittata/993/category/51/display/1/
고스트 트리 스파이 학명 Amazonius burgessi 습성 나무위성 수명 약 10~20년 사육온도 23~27도 사육습도 50~60% 사이즈 성장 속도 매우 빠름 트리스파이더속으로 처럼 도 복부의 무늬가 있고 화려한 개체입니다. 분양되는 타란툴라의 사이즈는 급 입니다. ● 추가 사진,타란툴라코리아,네이버,2026-06-02,15000,15000,0,,,품절,https://smartstore.naver.com/tarantulakorea/products/10588191419
고스트 트리 스파이더,거미랑,자사몰,2026-06-02,20000,20000,0,,,품절,https://theraphosidae.co.kr/product/고스트-트리-스파이더-유체/1158/category/24/display/1/
고스트 트리 스파이더,타란센터,자사몰,2026-06-02,25000,25000,0,,,품절,https://tarancenter.com/product/고스트-트리-스파이더-유체-amazonius-burgessi/723/category/51/display/1/
고스트 트리스파이더,거미랑,자사몰,2026-06-02,20000,20000,0,,,품절,https://theraphosidae.co.kr/product/고스트-트리스파이더-유체/1187/category/24/display/1/
고스트 트리스파이더,거미랑,자사몰,2026-06-02,20000,20000,0,,,품절,https://theraphosidae.co.kr/product/고스트-트리스파이더-유체/1219/category/24/display/1/
골드 밴디드 스타버스트,거미랑,자사몰,2026-06-02,40000,40000,0,,,품절,https://theraphosidae.co.kr/product/2차-재입고-골드-밴디드-스타버스트-ex-ami-sp-panama-유체/835/category/24/display/1/
골드제브라 뷰티,거미랑,네이버,2026-06-02,12000,12000,0,,,재고,https://smartstore.naver.com/terrafactory/products/12265429252
골든 바분 학명 Harpactira tigrina 습성 버로우성 수명 약 10~15년 사육온도 23~27도 사육습도 70~80% 사이즈 성장 속도 빠름 Harpactira 속의 금색 바디에 패턴이 선명한 종류 입니다. 분양되는 사이즈는 급 입니다. ● 추가 사진,타란툴라코리아,네이버,2026-06-02,70000,70000,0,,,품절,https://smartstore.naver.com/tarantulakorea/products/10663151287
골든 밴디드 스타버스트,거미랑,자사몰,2026-06-02,45000,45000,0,,,품절,https://theraphosidae.co.kr/product/골든-밴디드-스타버스트-ex-ami-sp-panama/1101/category/24/display/1/
골든 밴디드 스타버스트 학명 Ami sp. Panama 습성 배회성 수명 약 10년+,타란툴라코리아,네이버,2026-06-02,35000,35000,0,,,품절,https://smartstore.naver.com/tarantulakorea/products/10567901323
골든 어스타이거 다크폼,거미랑,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/terrafactory/products/12936772478
골든 어스타이거 선라,거미랑,자사몰,2026-06-02,20000,20000,0,,,재고,https://theraphosidae.co.kr/product/골든-어스타이거-선라-유체/1986/category/24/display/1/
골든그레이 버드이터,거미랑,네이버,2026-06-02,15000,15000,0,,,재고,https://smartstore.naver.com/terrafactory/products/5230237021
골든그레이 버드이터,거미랑,자사몰,2026-06-02,65000,65000,0,,,품절,https://theraphosidae.co.kr/product/골든그레이-버드이터-8cm-한쌍/1794/category/24/display/1/
골든그레이 버드이터,거미랑,자사몰,2026-06-02,15000,15000,0,,,품절,https://theraphosidae.co.kr/product/골든그레이-버드이터-유체/1121/category/24/display/1/
골든그레이 버드이터,타란센터,네이버,2026-06-02,15000,15000,0,,,품절,https://smartstore.naver.com/tarancenter/products/10775047299
골든그레이 버드이터,타란센터,자사몰,2026-06-02,50000,50000,0,,,품절,https://tarancenter.com/product/골든그레이-버드이터-5cm-암컷-아성체-phormictopus-auratus/1180/category/51/display/1/
골든그레이 버드이터,타란센터,자사몰,2026-06-02,15000,15000,0,,,품절,https://tarancenter.com/product/골든그레이-버드이터-유체-phormictopus-auratus/1090/category/51/display/1/
골든그레이 버드이터,타란센터,자사몰,2026-06-02,25000,25000,0,,,품절,https://tarancenter.com/product/골든그레이-버드이터-유체-phormictopus-auratus/732/category/51/display/1/
